name,price,old_price,discount,rating,reviews,product_url,image_url,specifications
Nothing Buds Pro 2,"Rs12,999","Rs20,000",35% OFF,4.8,28,https://priceoye.pk/wireless-earbuds/nothing/nothing-buds-2-pro,https://images.priceoye.pk/nothing-buds-2-pro-pakistan-priceoye-qouw0-100x100.webp,"{'General Features - Noise Cancellation': 'ANC', 'General Features - Water Resistant': 'IP55', 'General Features - Charging Interface': 'Type-C', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '11mm', 'Connectivity - Bluetooth Version': '5.3', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'N/A', 'Battery - Capacity for buds': '60 mAh', 'Battery - Capacity for Case': '460mAh', 'Battery - Playtime': '3-4 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
M20 TWS Wireless Bluetooth Earbuds,"Rs1,099","Rs2,399",54% OFF,4.8,152,https://priceoye.pk/wireless-earbuds/assorted/m20-tws-wireless-bluetooth-earbuds,https://images.priceoye.pk/m20-tws-wireless-bluetooth-earbuds-pakistan-priceoye-zniaz-100x100.webp,"{'General Features - Noise Cancellation': 'No', 'General Features - Water Resistant': 'IP67', 'General Features - Charging Interface': 'Micro', 'General Features - Auto Pairing': 'null', 'General Features - Compatibility': 'Android IOS & Windows', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'null', 'Connectivity - Bluetooth Version': 'V5.1', 'Connectivity - Bluetooth Range': '20Hz - 20,000Hz', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': 'null', 'Battery - Playtime': '3-4 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
CMF Nothing Wireless Earbuds,"Rs9,499","Rs18,000",47% OFF,4,1,https://priceoye.pk/wireless-earbuds/nothing/cmf-wireless-earbuds,https://images.priceoye.pk/cmf-wireless-earbuds-pakistan-priceoye-2fnll-100x100.webp,"{'General Features - Noise Cancellation': 'ANC', 'General Features - Water Resistant': '1P54', 'General Features - Charging Interface': 'Type C', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS & Windows', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '12.4mm', 'Connectivity - Bluetooth Version': 'V5.3', 'Connectivity - Bluetooth Range': '10 m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '45 mAh', 'Battery - Capacity for Case': '460 mAh', 'Battery - Playtime': '4.5 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
Apple AirPods 4 Active Noise Cancellation,"Rs48,999","Rs95,999",49% OFF,5,5,https://priceoye.pk/wireless-earbuds/apple/airpods-4-active-noise-cancellation,https://images.priceoye.pk/airpods-4-active-noise-cancellation-pakistan-priceoye-jpkky-100x100.webp,"{'General Features - Noise Cancellation': 'ANC', 'General Features - Water Resistant': 'Dust, sweat, and water resistant5', 'General Features - Charging Interface': 'Type C', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'IOS & Android', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'Apple driver', 'Connectivity - Bluetooth Version': 'V5.3', 'Connectivity - Bluetooth Range': '10 m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': 'N/A', 'Battery - Playtime': '4.5 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
SEGO Touch LCD Display Earbuds,"Rs3,999","Rs7,000",43% OFF,5,1,https://priceoye.pk/wireless-earbuds/sego/sego-touch-lcd-display-earbuds,https://images.priceoye.pk/sego-touch-lcd-display-earbuds-pakistan-priceoye-fadu0-100x100.webp,"{'General Features - Noise Cancellation': 'ANC', 'General Features - Water Resistant': 'IPX4', 'General Features - Charging Interface': 'C-Type', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android / IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '13mm', 'Connectivity - Bluetooth Version': 'V5.4', 'Connectivity - Bluetooth Range': '10M / 30FT', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '30mAh', 'Battery - Capacity for Case': '380mAh', 'Battery - Playtime': '5-6 Hours', 'Battery - Charging Time': '2 Hours'}"
Apple AirPods Pro (2nd generation) Type C,"Rs55,999","Rs71,000",21% OFF,5,25,https://priceoye.pk/wireless-earbuds/apple/apple-airpods-pro-2nd-generation-type-c,https://images.priceoye.pk/apple-airpods-pro-2nd-generation-type-c-pakistan-priceoye-y6met-100x100.webp,"{'General Features - Noise Cancellation': 'ANC', 'General Features - Water Resistant': 'IPX4', 'General Features - Charging Interface': 'N/A', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'N/A', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': '5.3', 'Connectivity - Bluetooth Range': '10 m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': 'N/A', 'Battery - Playtime': '5 Hours', 'Battery - Charging Time': '1.5 Hrs'}"
QCY ArcBuds Lite ENC Wireless Earbuds,"Rs3,669","Rs5,500",33% OFF,4.6,7,https://priceoye.pk/wireless-earbuds/qcy/qcy-arcbuds-lite-wireless-earbuds,https://images.priceoye.pk/qcy-arcbuds-lite-wireless-earbuds-pakistan-priceoye-zcgoo-100x100.webp,"{'General Features - Noise Cancellation': 'Yes', 'General Features - Water Resistant': 'IPX4', 'General Features - Charging Interface': 'USB-C', 'General Features - Auto Pairing': 'No', 'General Features - Compatibility': 'Android & iOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': 'v5.3', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': '380mAh', 'Battery - Playtime': '32 hours', 'Battery - Charging Time': '1.5-2 hours'}"
F9 Airdots Pro with Power Bank,"Rs1,299","Rs2,700",52% OFF,4.1,10,https://priceoye.pk/wireless-earbuds/assorted/f9-airdots-pro-with-power-bank,https://images.priceoye.pk/f9-airdots-pro-with-power-bank-pakistan-priceoye-5li0g-100x100.webp,"{'General Features - Noise Cancellation': 'No', 'General Features - Water Resistant': 'IP67', 'General Features - Charging Interface': 'N/A', 'General Features - Auto Pairing': 'N/A', 'General Features - Compatibility': 'Android IOS & Windows', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'NA', 'Connectivity - Bluetooth Version': '5.1', 'Connectivity - Bluetooth Range': 'Up to 10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'NA', 'Battery - Capacity for Case': '2000mAh', 'Battery - Playtime': '4 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
Realme Buds T200 Lite,"Rs5,699","Rs7,999",29% OFF,5,2,https://priceoye.pk/wireless-earbuds/realme/realme-buds-t200-lite,https://images.priceoye.pk/realme-buds-t200-lite-pakistan-priceoye-wt9kh-100x100.webp,"{'General Features - Noise Cancellation': 'AI ENC', 'General Features - Water Resistant': 'IPX4', 'General Features - Charging Interface': 'C-Type', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android / IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '12.4mm', 'Connectivity - Bluetooth Version': 'V5.3', 'Connectivity - Bluetooth Range': '10M / 30FT', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': 'N/A', 'Battery - Playtime': '6-8 Hours', 'Battery - Charging Time': '2 Hours'}"
Airs Pro TWS Bluetooth Earbuds,Rs799,"Rs1,699",53% OFF,4.7,249,https://priceoye.pk/wireless-earbuds/assorted/airs-pro-tws-bluetooth-earbuds,https://images.priceoye.pk/airs-pro-tws-bluetooth-earbuds-pakistan-priceoye-fvwmk-100x100.webp,"{'General Features - Noise Cancellation': 'No', 'General Features - Water Resistant': 'IP67', 'General Features - Charging Interface': 'N/A', 'General Features - Auto Pairing': 'N/A', 'General Features - Compatibility': 'Android IOS & Windows', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': 'V5.0', 'Connectivity - Bluetooth Range': '>10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': 'N/A', 'Battery - Playtime': '2-3 Hours', 'Battery - Charging Time': '30-45 minutes earbuds, 1 hour case'}"
